learner_id,item_id,skill,skills,correct,p_known_after,n_obs,streak,rule_fired,is_last
s11,q04,C,C,0,0.262,4,2,3,1
s11,q05,E,B|C|D|E,0,0.158,1,1,5,0
s11,q06,E,C|D|E,1,0.458,2,0,5,0
s11,q07,E,D|E,1,0.773,3,0,2,0
s11,q08,E,B|E,1,0.931,4,0,2,1
s11,q09,F,E|F,1,0.641,1,0,5,0
s11,q10,F,E|F,1,0.877,2,0,5,0
s11,q11,F,F,1,0.965,3,0,1,0
s11,q12,F,E|F,1,0.991,4,0,1,1
s12,q01,C,A|C,1,0.641,1,0,5,0
s12,q02,C,A|C,0,0.3,2,1,5,0
s12,q03,C,C,1,0.641,3,0,2,0
s12,q04,C,C,1,0.877,4,0,2,1
s12,q05,E,B|C|D|E,1,0.641,1,0,5,0
s12,q06,E,C|D|E,1,0.877,2,0,5,0
s12,q07,E,D|E,0,0.579,3,1,2,0
s12,q08,E,B|E,1,0.846,4,0,2,1
s12,q09,F,E|F,1,0.641,1,0,5,0
s12,q10,F,E|F,1,0.877,2,0,5,0
s12,q11,F,F,0,0.579,3,1,2,0
s12,q12,F,E|F,1,0.846,4,0,2,1
s13,q01,C,A|C,0,0.158,1,1,5,0
s13,q02,C,A|C,1,0.458,2,0,5,0
s13,q03,C,C,0,0.207,3,1,3,0
s13,q04,C,C,1,0.531,4,0,2,1
s13,q05,E,B|C|D|E,0,0.158,1,1,5,0
s13,q06,E,C|D|E,0,0.126,2,2,5,0
s13,q07,E,D|E,0,0.12,3,3,4,0
s13,q08,E,B|E,1,0.392,4,0,3,1
s13,q09,F,E|F,0,0.158,1,1,5,0
s13,q10,F,E|F,1,0.458,2,0,5,0
s13,q11,F,F,1,0.773,3,0,2,0
s13,q12,F,E|F,0,0.418,4,1,3,1
s14,q01,C,A|C,1,0.641,1,0,5,0
s14,q02,C,A|C,0,0.3,2,1,5,0
s14,q03,C,C,1,0.641,3,0,2,0
s14,q04,C,C,0,0.3,4,1,3,1
s14,q05,E,B|C|D|E,0,0.158,1,1,5,0
s14,q06,E,C|D|E,0,0.126,2,2,5,0
s14,q07,E,D|E,1,0.403,3,0,3,0
s14,q08,E,B|E,0,0.188,4,1,3,1
s14,q09,F,E|F,0,0.158,1,1,5,0
s14,q10,F,E|F,0,0.126,2,2,5,0
s14,q11,F,F,1,0.403,3,0,3,0
s14,q12,F,E|F,0,0.188,4,1,3,1
s15,q01,C,A|C,0,0.158,1,1,5,0
s15,q02,C,A|C,0,0.126,2,2,5,0
s15,q03,C,C,0,0.12,3,3,4,0
s15,q04,C,C,0,0.119,4,4,4,1
s15,q05,E,B|C|D|E,1,0.641,1,0,5,0
s15,q06,E,C|D|E,0,0.3,2,1,5,0
s15,q07,E,D|E,1,0.641,3,0,2,0
s15,q08,E,B|E,0,0.3,4,1,3,1
s15,q09,F,E|F,0,0.158,1,1,5,0
s15,q10,F,E|F,1,0.458,2,0,5,0
s15,q11,F,F,1,0.773,3,0,2,0
s15,q12,F,E|F,0,0.418,4,1,3,1
s16,q01,C,A|C,1,0.641,1,0,5,0
s16,q02,C,A|C,0,0.3,2,1,5,0
s16,q03,C,C,0,0.158,3,2,3,0
s16,q04,C,C,0,0.126,4,3,4,1
s16,q05,E,B|C|D|E,0,0.158,1,1,5,0
s16,q06,E,C|D|E,0,0.126,2,2,5,0
s16,q07,E,D|E,1,0.403,3,0,3,0
s16,q08,E,B|E,0,0.188,4,1,3,1
s16,q09,F,E|F,1,0.641,1,0,5,0
s16,q10,F,E|F,0,0.3,2,1,5,0
s16,q11,F,F,0,0.158,3,2,3,0
s16,q12,F,E|F,0,0.126,4,3,4,1
s17,q01,C,A|C,1,0.641,1,0,5,0
s17,q02,C,A|C,1,0.877,2,0,5,0
s17,q03,C,C,0,0.579,3,1,2,0
s17,q04,C,C,1,0.846,4,0,2,1
s17,q05,E,B|C|D|E,1,0.641,1,0,5,0
s17,q06,E,C|D|E,1,0.877,2,0,5,0
s17,q07,E,D|E,1,0.965,3,0,1,0
s17,q08,E,B|E,0,0.835,4,1,2,1
s17,q09,F,E|F,0,0.158,1,1,5,0
s17,q10,F,E|F,1,0.458,2,0,5,0
s17,q11,F,F,1,0.773,3,0,2,0
s17,q12,F,E|F,1,0.931,4,0,2,1
s18,q01,C,A|C,0,0.158,1,1,5,0
s18,q02,C,A|C,0,0.126,2,2,5,0
s18,q03,C,C,0,0.12,3,3,4,0
s18,q04,C,C,0,0.119,4,4,4,1
s18,q05,E,B|C|D|E,0,0.158,1,1,5,0
s18,q06,E,C|D|E,1,0.458,2,0,5,0
s18,q07,E,D|E,1,0.773,3,0,2,0
s18,q08,E,B|E,0,0.418,4,1,3,1
s18,q09,F,E|F,0,0.158,1,1,5,0
s18,q10,F,E|F,1,0.458,2,0,5,0
s18,q11,F,F,1,0.773,3,0,2,0
s18,q12,F,E|F,1,0.931,4,0,2,1
s19,q01,C,A|C,0,0.158,1,1,5,0
s19,q02,C,A|C,1,0.458,2,0,5,0
s19,q03,C,C,1,0.773,3,0,2,0
s19,q04,C,C,0,0.418,4,1,3,1
s19,q05,E,B|C|D|E,0,0.158,1,1,5,0
s19,q06,E,C|D|E,1,0.458,2,0,5,0
s19,q07,E,D|E,0,0.207,3,1,3,0
s19,q08,E,B|E,0,0.136,4,2,3,1
s19,q09,F,E|F,0,0.158,1,1,5,0
s19,q10,F,E|F,1,0.458,2,0,5,0
s19,q11,F,F,0,0.207,3,1,3,0
s19,q12,F,E|F,1,0.531,4,0,2,1
s20,q01,C,A|C,1,0.641,1,0,5,0
s20,q02,C,A|C,0,0.3,2,1,5,0
s20,q03,C,C,0,0.158,3,2,3,0
s20,q04,C,C,0,0.126,4,3,4,1
s20,q05,E,B|C|D|E,0,0.158,1,1,5,0
s20,q06,E,C|D|E,1,0.458,2,0,5,0
s20,q07,E,D|E,1,0.773,3,0,2,0
s20,q08,E,B|E,0,0.418,4,1,3,1
s20,q09,F,E|F,0,0.158,1,1,5,0
s20,q10,F,E|F,1,0.458,2,0,5,0
s20,q11,F,F,1,0.773,3,0,2,0
s20,q12,F,E|F,0,0.418,4,1,3,1
s21,q01,C,A|C,1,0.641,1,0,5,0
s21,q02,C,A|C,1,0.877,2,0,5,0
s21,q03,C,C,1,0.965,3,0,1,0
s21,q04,C,C,1,0.991,4,0,1,1
s21,q05,E,B|C|D|E,0,0.158,1,1,5,0
s21,q06,E,C|D|E,0,0.126,2,2,5,1
s22,q01,C,A|C,1,0.641,1,0,5,0
s22,q02,C,A|C,1,0.877,2,0,5,0
s22,q03,C,C,1,0.965,3,0,1,0
s22,q04,C,C,1,0.991,4,0,1,1
s22,q05,E,B|C|D|E,0,0.158,1,1,5,1
s23,q01,C,A|C,0,0.158,1,1,5,0
s23,q02,C,A|C,1,0.458,2,0,5,0
s23,q03,C,C,1,0.773,3,0,2,0
s23,q04,C,C,1,0.931,4,0,2,1
s23,q05,E,B|C|D|E,1,0.641,1,0,5,0
s23,q06,E,C|D|E,1,0.877,2,0,5,0
s23,q07,E,D|E,1,0.965,3,0,1,1
s24,q01,C,A|C,1,0.641,1,0,5,0
s24,q02,C,A|C,0,0.3,2,1,5,0
s24,q03,C,C,1,0.641,3,0,2,0
s24,q04,C,C,0,0.3,4,1,3,1
s24,q05,E,B|C|D|E,0,0.158,1,1,5,1
s25,q01,C,A|C,0,0.158,1,1,5,0
s25,q02,C,A|C,1,0.458,2,0,5,0
s25,q03,C,C,1,0.773,3,0,2,0
s25,q04,C,C,1,0.931,4,0,2,1
s25,q05,E,B|C|D|E,0,0.158,1,1,5,0
s25,q06,E,C|D|E,1,0.458,2,0,5,1
